,Ti,Ni,Cu,Fe,Pd,Co,Mn,Cr,Nb,Zr,Hf
0,40.0,45.0,4,0,0,0,0,0,0,11,0
1,39.0,45.0,4,0,0,0,0,0,0,12,0
2,38.0,45.0,4,0,0,0,0,0,0,13,0
3,37.0,45.0,4,0,0,0,0,0,0,14,0
4,36.0,45.0,4,0,0,0,0,0,0,15,0
5,35.0,45.0,4,0,0,0,0,0,0,16,0
6,34.0,45.0,4,0,0,0,0,0,0,17,0
7,33.0,45.0,4,0,0,0,0,0,0,18,0
8,32.0,45.0,4,0,0,0,0,0,0,19,0
9,31.0,45.0,4,0,0,0,0,0,0,20,0
10,40.0,45.0,4,0,0,0,0,0,0,10,1
11,39.0,45.0,4,0,0,0,0,0,0,11,1
12,38.0,45.0,4,0,0,0,0,0,0,12,1
13,37.0,45.0,4,0,0,0,0,0,0,13,1
14,36.0,45.0,4,0,0,0,0,0,0,14,1
15,35.0,45.0,4,0,0,0,0,0,0,15,1
16,34.0,45.0,4,0,0,0,0,0,0,16,1
17,33.0,45.0,4,0,0,0,0,0,0,17,1
18,32.0,45.0,4,0,0,0,0,0,0,18,1
19,31.0,45.0,4,0,0,0,0,0,0,19,1
20,40.0,45.0,4,0,0,0,0,0,0,9,2
21,39.0,45.0,4,0,0,0,0,0,0,10,2
22,38.0,45.0,4,0,0,0,0,0,0,11,2
23,37.0,45.0,4,0,0,0,0,0,0,12,2
24,36.0,45.0,4,0,0,0,0,0,0,13,2
25,35.0,45.0,4,0,0,0,0,0,0,14,2
26,34.0,45.0,4,0,0,0,0,0,0,15,2
27,33.0,45.0,4,0,0,0,0,0,0,16,2
28,32.0,45.0,4,0,0,0,0,0,0,17,2
29,31.0,45.0,4,0,0,0,0,0,0,18,2
30,40.0,45.0,4,0,0,0,0,0,0,8,3
31,39.0,45.0,4,0,0,0,0,0,0,9,3
32,38.0,45.0,4,0,0,0,0,0,0,10,3
33,37.0,45.0,4,0,0,0,0,0,0,11,3
34,36.0,45.0,4,0,0,0,0,0,0,12,3
35,35.0,45.0,4,0,0,0,0,0,0,13,3
36,34.0,45.0,4,0,0,0,0,0,0,14,3
37,33.0,45.0,4,0,0,0,0,0,0,15,3
38,32.0,45.0,4,0,0,0,0,0,0,16,3
39,31.0,45.0,4,0,0,0,0,0,0,17,3
40,40.0,45.0,4,0,0,0,0,0,0,7,4
41,39.0,45.0,4,0,0,0,0,0,0,8,4
42,38.0,45.0,4,0,0,0,0,0,0,9,4
43,37.0,45.0,4,0,0,0,0,0,0,10,4
44,36.0,45.0,4,0,0,0,0,0,0,11,4
45,35.0,45.0,4,0,0,0,0,0,0,12,4
46,34.0,45.0,4,0,0,0,0,0,0,13,4
47,33.0,45.0,4,0,0,0,0,0,0,14,4
48,32.0,45.0,4,0,0,0,0,0,0,15,4
49,31.0,45.0,4,0,0,0,0,0,0,16,4
50,40.0,45.0,4,0,0,0,0,0,0,6,5
51,39.0,45.0,4,0,0,0,0,0,0,7,5
52,38.0,45.0,4,0,0,0,0,0,0,8,5
53,37.0,45.0,4,0,0,0,0,0,0,9,5
54,36.0,45.0,4,0,0,0,0,0,0,10,5
55,35.0,45.0,4,0,0,0,0,0,0,11,5
56,34.0,45.0,4,0,0,0,0,0,0,12,5
57,33.0,45.0,4,0,0,0,0,0,0,13,5
58,32.0,45.0,4,0,0,0,0,0,0,14,5
59,31.0,45.0,4,0,0,0,0,0,0,15,5
60,40.0,45.0,4,0,0,0,0,0,0,5,6
61,39.0,45.0,4,0,0,0,0,0,0,6,6
62,38.0,45.0,4,0,0,0,0,0,0,7,6
63,37.0,45.0,4,0,0,0,0,0,0,8,6
64,36.0,45.0,4,0,0,0,0,0,0,9,6
65,35.0,45.0,4,0,0,0,0,0,0,10,6
66,34.0,45.0,4,0,0,0,0,0,0,11,6
67,33.0,45.0,4,0,0,0,0,0,0,12,6
68,32.0,45.0,4,0,0,0,0,0,0,13,6
69,31.0,45.0,4,0,0,0,0,0,0,14,6
70,40.0,45.0,4,0,0,0,0,0,0,4,7
71,39.0,45.0,4,0,0,0,0,0,0,5,7
72,38.0,45.0,4,0,0,0,0,0,0,6,7
73,37.0,45.0,4,0,0,0,0,0,0,7,7
74,36.0,45.0,4,0,0,0,0,0,0,8,7
75,35.0,45.0,4,0,0,0,0,0,0,9,7
76,34.0,45.0,4,0,0,0,0,0,0,10,7
77,33.0,45.0,4,0,0,0,0,0,0,11,7
78,32.0,45.0,4,0,0,0,0,0,0,12,7
79,31.0,45.0,4,0,0,0,0,0,0,13,7
80,40.0,45.0,4,0,0,0,0,0,0,3,8
81,39.0,45.0,4,0,0,0,0,0,0,4,8
82,38.0,45.0,4,0,0,0,0,0,0,5,8
83,37.0,45.0,4,0,0,0,0,0,0,6,8
84,36.0,45.0,4,0,0,0,0,0,0,7,8
85,35.0,45.0,4,0,0,0,0,0,0,8,8
86,34.0,45.0,4,0,0,0,0,0,0,9,8
87,33.0,45.0,4,0,0,0,0,0,0,10,8
88,32.0,45.0,4,0,0,0,0,0,0,11,8
89,31.0,45.0,4,0,0,0,0,0,0,12,8
90,40.0,45.0,4,0,0,0,0,0,0,2,9
91,39.0,45.0,4,0,0,0,0,0,0,3,9
92,38.0,45.0,4,0,0,0,0,0,0,4,9
93,37.0,45.0,4,0,0,0,0,0,0,5,9
94,36.0,45.0,4,0,0,0,0,0,0,6,9
95,35.0,45.0,4,0,0,0,0,0,0,7,9
96,34.0,45.0,4,0,0,0,0,0,0,8,9
97,33.0,45.0,4,0,0,0,0,0,0,9,9
98,32.0,45.0,4,0,0,0,0,0,0,10,9
99,31.0,45.0,4,0,0,0,0,0,0,11,9
100,40.0,45.0,4,0,0,0,0,0,0,1,10
101,39.0,45.0,4,0,0,0,0,0,0,2,10
102,38.0,45.0,4,0,0,0,0,0,0,3,10
103,37.0,45.0,4,0,0,0,0,0,0,4,10
104,36.0,45.0,4,0,0,0,0,0,0,5,10
105,35.0,45.0,4,0,0,0,0,0,0,6,10
106,34.0,45.0,4,0,0,0,0,0,0,7,10
107,33.0,45.0,4,0,0,0,0,0,0,8,10
108,32.0,45.0,4,0,0,0,0,0,0,9,10
109,31.0,45.0,4,0,0,0,0,0,0,10,10
110,40.0,45.0,4,0,0,0,0,0,0,0,11
111,39.0,45.0,4,0,0,0,0,0,0,1,11
112,38.0,45.0,4,0,0,0,0,0,0,2,11
113,37.0,45.0,4,0,0,0,0,0,0,3,11
114,36.0,45.0,4,0,0,0,0,0,0,4,11
115,35.0,45.0,4,0,0,0,0,0,0,5,11
116,34.0,45.0,4,0,0,0,0,0,0,6,11
117,33.0,45.0,4,0,0,0,0,0,0,7,11
118,32.0,45.0,4,0,0,0,0,0,0,8,11
119,31.0,45.0,4,0,0,0,0,0,0,9,11
120,39.0,45.0,4,0,0,0,0,0,0,0,12
121,38.0,45.0,4,0,0,0,0,0,0,1,12
122,37.0,45.0,4,0,0,0,0,0,0,2,12
123,36.0,45.0,4,0,0,0,0,0,0,3,12
124,35.0,45.0,4,0,0,0,0,0,0,4,12
125,34.0,45.0,4,0,0,0,0,0,0,5,12
126,33.0,45.0,4,0,0,0,0,0,0,6,12
127,32.0,45.0,4,0,0,0,0,0,0,7,12
128,31.0,45.0,4,0,0,0,0,0,0,8,12
129,38.0,45.0,4,0,0,0,0,0,0,0,13
130,37.0,45.0,4,0,0,0,0,0,0,1,13
131,36.0,45.0,4,0,0,0,0,0,0,2,13
132,35.0,45.0,4,0,0,0,0,0,0,3,13
133,34.0,45.0,4,0,0,0,0,0,0,4,13
134,33.0,45.0,4,0,0,0,0,0,0,5,13
135,32.0,45.0,4,0,0,0,0,0,0,6,13
136,31.0,45.0,4,0,0,0,0,0,0,7,13
137,37.0,45.0,4,0,0,0,0,0,0,0,14
138,36.0,45.0,4,0,0,0,0,0,0,1,14
139,35.0,45.0,4,0,0,0,0,0,0,2,14
140,34.0,45.0,4,0,0,0,0,0,0,3,14
141,33.0,45.0,4,0,0,0,0,0,0,4,14
142,32.0,45.0,4,0,0,0,0,0,0,5,14
143,31.0,45.0,4,0,0,0,0,0,0,6,14
144,36.0,45.0,4,0,0,0,0,0,0,0,15
145,35.0,45.0,4,0,0,0,0,0,0,1,15
146,34.0,45.0,4,0,0,0,0,0,0,2,15
147,33.0,45.0,4,0,0,0,0,0,0,3,15
148,32.0,45.0,4,0,0,0,0,0,0,4,15
149,31.0,45.0,4,0,0,0,0,0,0,5,15
150,35.0,45.0,4,0,0,0,0,0,0,0,16
151,34.0,45.0,4,0,0,0,0,0,0,1,16
152,33.0,45.0,4,0,0,0,0,0,0,2,16
153,32.0,45.0,4,0,0,0,0,0,0,3,16
154,31.0,45.0,4,0,0,0,0,0,0,4,16
155,34.0,45.0,4,0,0,0,0,0,0,0,17
156,33.0,45.0,4,0,0,0,0,0,0,1,17
157,32.0,45.0,4,0,0,0,0,0,0,2,17
158,31.0,45.0,4,0,0,0,0,0,0,3,17
159,33.0,45.0,4,0,0,0,0,0,0,0,18
160,32.0,45.0,4,0,0,0,0,0,0,1,18
161,31.0,45.0,4,0,0,0,0,0,0,2,18
162,32.0,45.0,4,0,0,0,0,0,0,0,19
163,31.0,45.0,4,0,0,0,0,0,0,1,19
164,31.0,45.0,4,0,0,0,0,0,0,0,20
165,40.0,44.0,5,0,0,0,0,0,0,11,0
166,39.0,44.0,5,0,0,0,0,0,0,12,0
167,38.0,44.0,5,0,0,0,0,0,0,13,0
168,37.0,44.0,5,0,0,0,0,0,0,14,0
169,36.0,44.0,5,0,0,0,0,0,0,15,0
170,35.0,44.0,5,0,0,0,0,0,0,16,0
171,34.0,44.0,5,0,0,0,0,0,0,17,0
172,33.0,44.0,5,0,0,0,0,0,0,18,0
173,32.0,44.0,5,0,0,0,0,0,0,19,0
174,31.0,44.0,5,0,0,0,0,0,0,20,0
175,40.0,44.0,5,0,0,0,0,0,0,10,1
176,39.0,44.0,5,0,0,0,0,0,0,11,1
177,38.0,44.0,5,0,0,0,0,0,0,12,1
178,37.0,44.0,5,0,0,0,0,0,0,13,1
179,36.0,44.0,5,0,0,0,0,0,0,14,1
180,35.0,44.0,5,0,0,0,0,0,0,15,1
181,34.0,44.0,5,0,0,0,0,0,0,16,1
182,33.0,44.0,5,0,0,0,0,0,0,17,1
183,32.0,44.0,5,0,0,0,0,0,0,18,1
184,31.0,44.0,5,0,0,0,0,0,0,19,1
185,40.0,44.0,5,0,0,0,0,0,0,9,2
186,39.0,44.0,5,0,0,0,0,0,0,10,2
187,38.0,44.0,5,0,0,0,0,0,0,11,2
188,37.0,44.0,5,0,0,0,0,0,0,12,2
189,36.0,44.0,5,0,0,0,0,0,0,13,2
190,35.0,44.0,5,0,0,0,0,0,0,14,2
191,34.0,44.0,5,0,0,0,0,0,0,15,2
192,33.0,44.0,5,0,0,0,0,0,0,16,2
193,32.0,44.0,5,0,0,0,0,0,0,17,2
194,31.0,44.0,5,0,0,0,0,0,0,18,2
195,40.0,44.0,5,0,0,0,0,0,0,8,3
196,39.0,44.0,5,0,0,0,0,0,0,9,3
197,38.0,44.0,5,0,0,0,0,0,0,10,3
198,37.0,44.0,5,0,0,0,0,0,0,11,3
199,36.0,44.0,5,0,0,0,0,0,0,12,3
200,35.0,44.0,5,0,0,0,0,0,0,13,3
201,34.0,44.0,5,0,0,0,0,0,0,14,3
202,33.0,44.0,5,0,0,0,0,0,0,15,3
203,32.0,44.0,5,0,0,0,0,0,0,16,3
204,31.0,44.0,5,0,0,0,0,0,0,17,3
205,40.0,44.0,5,0,0,0,0,0,0,7,4
206,39.0,44.0,5,0,0,0,0,0,0,8,4
207,38.0,44.0,5,0,0,0,0,0,0,9,4
208,37.0,44.0,5,0,0,0,0,0,0,10,4
209,36.0,44.0,5,0,0,0,0,0,0,11,4
210,35.0,44.0,5,0,0,0,0,0,0,12,4
211,34.0,44.0,5,0,0,0,0,0,0,13,4
212,33.0,44.0,5,0,0,0,0,0,0,14,4
213,32.0,44.0,5,0,0,0,0,0,0,15,4
214,31.0,44.0,5,0,0,0,0,0,0,16,4
215,40.0,44.0,5,0,0,0,0,0,0,6,5
216,39.0,44.0,5,0,0,0,0,0,0,7,5
217,38.0,44.0,5,0,0,0,0,0,0,8,5
218,37.0,44.0,5,0,0,0,0,0,0,9,5
219,36.0,44.0,5,0,0,0,0,0,0,10,5
220,35.0,44.0,5,0,0,0,0,0,0,11,5
221,34.0,44.0,5,0,0,0,0,0,0,12,5
222,33.0,44.0,5,0,0,0,0,0,0,13,5
223,32.0,44.0,5,0,0,0,0,0,0,14,5
224,31.0,44.0,5,0,0,0,0,0,0,15,5
225,40.0,44.0,5,0,0,0,0,0,0,5,6
226,39.0,44.0,5,0,0,0,0,0,0,6,6
227,38.0,44.0,5,0,0,0,0,0,0,7,6
228,37.0,44.0,5,0,0,0,0,0,0,8,6
229,36.0,44.0,5,0,0,0,0,0,0,9,6
230,35.0,44.0,5,0,0,0,0,0,0,10,6
231,34.0,44.0,5,0,0,0,0,0,0,11,6
232,33.0,44.0,5,0,0,0,0,0,0,12,6
233,32.0,44.0,5,0,0,0,0,0,0,13,6
234,31.0,44.0,5,0,0,0,0,0,0,14,6
235,40.0,44.0,5,0,0,0,0,0,0,4,7
236,39.0,44.0,5,0,0,0,0,0,0,5,7
237,38.0,44.0,5,0,0,0,0,0,0,6,7
238,37.0,44.0,5,0,0,0,0,0,0,7,7
239,36.0,44.0,5,0,0,0,0,0,0,8,7
240,35.0,44.0,5,0,0,0,0,0,0,9,7
241,34.0,44.0,5,0,0,0,0,0,0,10,7
242,33.0,44.0,5,0,0,0,0,0,0,11,7
243,32.0,44.0,5,0,0,0,0,0,0,12,7
244,31.0,44.0,5,0,0,0,0,0,0,13,7
245,40.0,44.0,5,0,0,0,0,0,0,3,8
246,39.0,44.0,5,0,0,0,0,0,0,4,8
247,38.0,44.0,5,0,0,0,0,0,0,5,8
248,37.0,44.0,5,0,0,0,0,0,0,6,8
249,36.0,44.0,5,0,0,0,0,0,0,7,8
250,35.0,44.0,5,0,0,0,0,0,0,8,8
251,34.0,44.0,5,0,0,0,0,0,0,9,8
252,33.0,44.0,5,0,0,0,0,0,0,10,8
253,32.0,44.0,5,0,0,0,0,0,0,11,8
