,Ti,Ni,Cu,Fe,Pd,Co,Mn,Cr,Nb,Zr,Hf,hp
0,40.0,45.0,4,0,0,0,0,0,0,11,0,174.14176015672274
1,39.0,45.0,4,0,0,0,0,0,0,12,0,184.95981745890458
2,38.0,45.0,4,0,0,0,0,0,0,13,0,195.9217463499226
3,37.0,45.0,4,0,0,0,0,0,0,14,0,207.0275468287291
4,36.0,45.0,4,0,0,0,0,0,0,15,0,218.2772188965173
5,35.0,45.0,4,0,0,0,0,0,0,16,0,229.6707625524141
6,34.0,45.0,4,0,0,0,0,0,0,17,0,241.20817779639037
7,33.0,45.0,4,0,0,0,0,0,0,18,0,252.88946462981403
8,32.0,45.0,4,0,0,0,0,0,0,19,0,264.7146230507642
9,31.0,45.0,4,0,0,0,0,0,0,20,0,276.6836530605797
10,40.0,45.0,4,0,0,0,0,0,0,10,1,172.3951471929322
11,39.0,45.0,4,0,0,0,0,0,0,11,1,183.7019217935158
12,38.0,45.0,4,0,0,0,0,0,0,12,1,195.15256798267365
13,37.0,45.0,4,0,0,0,0,0,0,13,1,206.74708576031844
14,36.0,45.0,4,0,0,0,0,0,0,14,1,218.48547512645018
15,35.0,45.0,4,0,0,0,0,0,0,15,1,230.36773608042859
16,34.0,45.0,4,0,0,0,0,0,0,16,1,242.39386862324318
17,33.0,45.0,4,0,0,0,0,0,0,17,1,254.56387275469024
18,32.0,45.0,4,0,0,0,0,0,0,18,1,266.8777484741295
19,31.0,45.0,4,0,0,0,0,0,0,19,1,279.3354957825504
20,40.0,45.0,4,0,0,0,0,0,0,9,2,170.5201377589401
21,39.0,45.0,4,0,0,0,0,0,0,10,2,182.31562965820194
22,38.0,45.0,4,0,0,0,0,0,0,11,2,194.25499314558692
23,37.0,45.0,4,0,0,0,0,0,0,12,2,206.33822822134243
24,36.0,45.0,4,0,0,0,0,0,0,13,2,218.56533488587593
25,35.0,45.0,4,0,0,0,0,0,0,14,2,230.93631313875085
26,34.0,45.0,4,0,0,0,0,0,0,15,2,243.45116297947243
27,33.0,45.0,4,0,0,0,0,0,0,16,2,256.10988440940855
28,32.0,45.0,4,0,0,0,0,0,0,17,2,268.91247742733685
29,31.0,45.0,4,0,0,0,0,0,0,18,2,281.8589420337812
30,40.0,45.0,4,0,0,0,0,0,0,8,3,168.5167318549793
31,39.0,45.0,4,0,0,0,0,0,0,9,3,180.80094105241005
32,38.0,45.0,4,0,0,0,0,0,0,10,3,193.22902183810947
33,37.0,45.0,4,0,0,0,0,0,0,11,3,205.80097421223763
34,36.0,45.0,4,0,0,0,0,0,0,12,3,218.51679817491095
35,35.0,45.0,4,0,0,0,0,0,0,13,3,231.37649372633314
36,34.0,45.0,4,0,0,0,0,0,0,14,3,244.380060865602
37,33.0,45.0,4,0,0,0,0,0,0,15,3,257.5274995936197
38,32.0,45.0,4,0,0,0,0,0,0,16,3,270.8188099102117
39,31.0,45.0,4,0,0,0,0,0,0,17,3,284.2539918149123
40,40.0,45.0,4,0,0,0,0,0,0,7,4,166.38492948042403
41,39.0,45.0,4,0,0,0,0,0,0,8,4,179.15785597628565
42,38.0,45.0,4,0,0,0,0,0,0,9,4,192.07465406070696
43,37.0,45.0,4,0,0,0,0,0,0,10,4,205.13532373280032
44,36.0,45.0,4,0,0,0,0,0,0,11,4,218.33986499425373
45,35.0,45.0,4,0,0,0,0,0,0,12,4,231.68827784384484
46,34.0,45.0,4,0,0,0,0,0,0,13,4,245.18056228163186
47,33.0,45.0,4,0,0,0,0,0,0,14,4,258.81671830790583
48,32.0,45.0,4,0,0,0,0,0,0,15,4,272.59674592263764
49,31.0,45.0,4,0,0,0,0,0,0,16,4,286.5206451257691
50,40.0,45.0,4,0,0,0,0,0,0,6,5,164.12473063568177
51,39.0,45.0,4,0,0,0,0,0,0,7,5,177.38637443006155
52,38.0,45.0,4,0,0,0,0,0,0,8,5,190.7918898127391
53,37.0,45.0,4,0,0,0,0,0,0,9,5,204.34127678343793
54,36.0,45.0,4,0,0,0,0,0,0,10,5,218.0345353433513
55,35.0,45.0,4,0,0,0,0,0,0,11,5,231.87166549102403
56,34.0,45.0,4,0,0,0,0,0,0,12,5,245.85266722744564
57,33.0,45.0,4,0,0,0,0,0,0,13,5,259.9775405522669
58,32.0,45.0,4,0,0,0,0,0,0,14,5,274.2462854650803
59,31.0,45.0,4,0,0,0,0,0,0,15,5,288.6589019665262
60,40.0,45.0,4,0,0,0,0,0,0,5,6,161.73613532094168
61,39.0,45.0,4,0,0,0,0,0,0,6,6,175.48649641340307
62,38.0,45.0,4,0,0,0,0,0,0,7,6,189.38072909440962
63,37.0,45.0,4,0,0,0,0,0,0,8,6,203.41883336394676
64,36.0,45.0,4,0,0,0,0,0,0,9,6,217.6008092215925
65,35.0,45.0,4,0,0,0,0,0,0,10,6,231.926656667958
66,34.0,45.0,4,0,0,0,0,0,0,11,6,246.39637570246123
67,33.0,45.0,4,0,0,0,0,0,0,12,6,261.0099663257133
68,32.0,45.0,4,0,0,0,0,0,0,13,6,275.7674285369576
69,31.0,45.0,4,0,0,0,0,0,0,14,6,290.66876233706716
70,40.0,45.0,4,0,0,0,0,0,0,4,7,159.2191435356799
71,39.0,45.0,4,0,0,0,0,0,0,5,7,173.4582219266449
72,38.0,45.0,4,0,0,0,0,0,0,6,7,187.84117190603865
73,37.0,45.0,4,0,0,0,0,0,0,7,7,202.36799347386113
74,36.0,45.0,4,0,0,0,0,0,0,8,7,217.03868663014146
75,35.0,45.0,4,0,0,0,0,0,0,9,7,231.85325137490872
76,34.0,45.0,4,0,0,0,0,0,0,10,7,246.8116877079883
77,33.0,45.0,4,0,0,0,0,0,0,11,7,261.9139956291183
78,32.0,45.0,4,0,0,0,0,0,0,12,7,277.1601751392009
79,31.0,45.0,4,0,0,0,0,0,0,13,7,292.55022623727564
80,40.0,45.0,4,0,0,0,0,0,0,3,8,156.57375528037664
81,39.0,45.0,4,0,0,0,0,0,0,4,8,171.30155096972885
82,38.0,45.0,4,0,0,0,0,0,0,5,8,186.1732182474807
83,37.0,45.0,4,0,0,0,0,0,0,6,8,201.18875711370492
84,36.0,45.0,4,0,0,0,0,0,0,7,8,216.3481675682997
85,35.0,45.0,4,0,0,0,0,0,0,8,8,231.65144961123588
86,34.0,45.0,4,0,0,0,0,0,0,9,8,247.09860324295005
87,33.0,45.0,4,0,0,0,0,0,0,10,8,262.68962846227805
88,32.0,45.0,4,0,0,0,0,0,0,11,8,278.4245252708788
89,31.0,45.0,4,0,0,0,0,0,0,12,8,294.30329366761725
90,40.0,45.0,4,0,0,0,0,0,0,2,9,153.79997055481363
91,39.0,45.0,4,0,0,0,0,0,0,3,9,169.01648354250938
92,38.0,45.0,4,0,0,0,0,0,0,4,9,184.37686811867752
93,37.0,45.0,4,0,0,0,0,0,0,5,9,199.8811242832162
94,36.0,45.0,4,0,0,0,0,0,0,6,9,215.5292520362127
95,35.0,45.0,4,0,0,0,0,0,0,7,9,231.32125137740513
96,34.0,45.0,4,0,0,0,0,0,0,8,9,247.25712230737554
97,33.0,45.0,4,0,0,0,0,0,0,9,9,263.336864825862
98,32.0,45.0,4,0,0,0,0,0,0,10,9,279.5604789321078
99,31.0,45.0,4,0,0,0,0,0,0,11,9,295.92796462750994
100,40.0,45.0,4,0,0,0,0,0,0,1,10,150.89778935901995
101,39.0,45.0,4,0,0,0,0,0,0,2,10,166.6030196451029
102,38.0,45.0,4,0,0,0,0,0,0,3,10,182.45212151951273
103,37.0,45.0,4,0,0,0,0,0,0,4,10,198.44509498242405
104,36.0,45.0,4,0,0,0,0,0,0,5,10,214.58194003385142
105,35.0,45.0,4,0,0,0,0,0,0,6,10,230.86265667373664
106,34.0,45.0,4,0,0,0,0,0,0,7,10,247.28724490184686
107,33.0,45.0,4,0,0,0,0,0,0,8,10,263.85570471864776
108,32.0,45.0,4,0,0,0,0,0,0,9,10,280.56803612364456
109,31.0,45.0,4,0,0,0,0,0,0,10,10,297.42423911683727
110,40.0,45.0,4,0,0,0,0,0,0,0,11,147.86721169298107
111,39.0,45.0,4,0,0,0,0,0,0,1,11,164.06115927742212
112,38.0,45.0,4,0,0,0,0,0,0,2,11,180.3989784502919
113,37.0,45.0,4,0,0,0,0,0,0,3,11,196.88066921154677
114,36.0,45.0,4,0,0,0,0,0,0,4,11,213.50623156118672
115,35.0,45.0,4,0,0,0,0,0,0,5,11,230.27566549938638
116,34.0,45.0,4,0,0,0,0,0,0,6,11,247.1889710261894
117,33.0,45.0,4,0,0,0,0,0,0,7,11,264.2461481412174
118,32.0,45.0,4,0,0,0,0,0,0,8,11,281.4471968448488
119,31.0,45.0,4,0,0,0,0,0,0,9,11,298.79211713623954
120,39.0,45.0,4,0,0,0,0,0,0,0,12,161.3909024395689
121,38.0,45.0,4,0,0,0,0,0,0,1,12,178.21743891086953
122,37.0,45.0,4,0,0,0,0,0,0,2,12,195.18784697040974
123,36.0,45.0,4,0,0,0,0,0,0,3,12,212.30212661865517
124,35.0,45.0,4,0,0,0,0,0,0,4,12,229.56027785528568
125,34.0,45.0,4,0,0,0,0,0,0,5,12,246.96230067996657
126,33.0,45.0,4,0,0,0,0,0,0,6,12,264.50819509342546
127,32.0,45.0,4,0,0,0,0,0,0,7,12,282.19796109499293
128,31.0,45.0,4,0,0,0,0,0,0,8,12,300.0315986854839
129,38.0,45.0,4,0,0,0,0,0,0,0,13,175.9075029011874
130,37.0,45.0,4,0,0,0,0,0,0,1,13,193.36662825901294
131,36.0,45.0,4,0,0,0,0,0,0,2,13,210.96962520555826
132,35.0,45.0,4,0,0,0,0,0,0,3,13,228.71649374061963
133,34.0,45.0,4,0,0,0,0,0,0,4,13,246.60723386361497
134,33.0,45.0,4,0,0,0,0,0,0,5,13,264.6418455756502
135,32.0,45.0,4,0,0,0,0,0,0,6,13,282.8203288753866
136,31.0,45.0,4,0,0,0,0,0,0,7,13,301.1426837645122
137,37.0,45.0,4,0,0,0,0,0,0,0,14,191.4170130774146
138,36.0,45.0,4,0,0,0,0,0,0,1,14,209.5087273223471
139,35.0,45.0,4,0,0,0,0,0,0,2,14,227.74431315567927
140,34.0,45.0,4,0,0,0,0,0,0,3,14,246.1237705774838
141,33.0,45.0,4,0,0,0,0,0,0,4,14,264.64709958733874
142,32.0,45.0,4,0,0,0,0,0,0,5,14,283.31430018602987
143,31.0,45.0,4,0,0,0,0,0,0,6,14,302.12537237314973
144,36.0,45.0,4,0,0,0,0,0,0,0,15,207.91943296877434
145,35.0,45.0,4,0,0,0,0,0,0,1,15,226.643736100581
146,34.0,45.0,4,0,0,0,0,0,0,2,15,245.51191082061268
147,33.0,45.0,4,0,0,0,0,0,0,3,15,264.5239571291313
148,32.0,45.0,4,0,0,0,0,0,0,4,15,283.6798750263406
149,31.0,45.0,4,0,0,0,0,0,0,5,15,302.9796645112219
150,35.0,45.0,4,0,0,0,0,0,0,0,16,225.41476257532486
151,34.0,45.0,4,0,0,0,0,0,0,1,16,244.77165459372918
152,33.0,45.0,4,0,0,0,0,0,0,2,16,264.27241820067866
