,Ti,Ni,Cu,Hf,Zr,hp1,hp2,hpVary
0,49.0,41.0,10,0,0,58.31674193299841,4.150174033304211,54.1665678996942
1,49.0,42.0,9,0,0,2.7199352722091135,58.324686431122245,55.60475115891313
2,49.0,43.0,8,0,0,58.390261427281075,1.3473270087561104,57.042934418524965
3,49.0,44.0,7,0,0,0.03234924343996681,58.51346692140214,58.481117677962175
4,49.0,45.0,6,0,0,58.69430291339813,-1.2249980239430442,59.91930093734118
5,49.0,46.0,5,0,0,-2.424714793480234,58.93276940335636,61.357484196836594
6,49.0,47.0,4,0,0,59.22886639145145,-3.566801065055188,62.795667456506635
7,49.0,48.0,3,0,0,59.582593877392355,-4.6512568382313475,64.2338507156237
8,49.0,49.0,2,0,0,-5.678082114085555,59.99395186128095,65.6720339753665
9,49.0,50.0,1,0,0,-6.64727689162828,60.4629403431245,67.11021723475278
10,48.0,41.0,10,1,0,-13.15049304132117,54.8658818621916,68.01637490351277
11,49.0,51.0,0,0,0,60.98955932303943,-7.558841171266977,68.5484004943064
12,48.0,42.0,9,1,0,-14.188381346670212,55.26617681647622,69.45455816314643
13,48.0,43.0,8,1,0,-15.168639153562253,55.724102268752176,70.89274142231443
14,48.0,41.0,10,0,1,60.48309014026745,-11.490166858071461,71.97325699833891
15,48.0,44.0,7,1,0,-16.091266462870408,56.239658218983095,72.3309246818535
16,48.0,42.0,9,0,1,-12.477697797789006,60.93374245988525,73.41144025767426
17,48.0,45.0,6,1,0,-16.956263274303637,56.812844667132595,73.76910794143623
18,48.0,43.0,8,0,1,61.44202527744346,-13.40759823951521,74.84962351695867
19,48.0,46.0,5,1,0,-17.763629587483592,57.443661613287986,75.20729120077158
20,48.0,44.0,7,0,1,62.007938593043946,-14.279868183715735,76.28780677675968
21,48.0,47.0,4,1,0,58.132109057420166,-18.513365402905038,76.6454744603252
22,48.0,45.0,6,0,1,62.63148240656301,-15.094507629604777,77.72599003616779
23,48.0,48.0,3,1,0,58.878186999529134,-19.205470720335143,78.08365771986428
24,48.0,46.0,5,0,1,-15.85151657750248,63.31265671802248,79.16417329552496
25,48.0,49.0,2,1,0,59.6818954394912,-19.839945539773908,79.52184097926511
26,48.0,47.0,4,0,1,64.05146152738598,-16.550895027496153,80.60235655488214
27,48.0,50.0,1,1,0,60.54323437749554,-20.41678986119223,80.96002423868777
28,47.0,41.0,10,2,0,-29.45825040107593,52.40793150639365,81.86618190746958
29,48.0,48.0,3,0,1,-17.192642979614902,64.8478968348063,82.04053981442121
30,48.0,51.0,0,1,0,61.46220381347666,-20.936003684677416,82.39820749815408
31,47.0,42.0,9,2,0,53.20057691684633,-30.103788250067737,83.30436516691407
32,48.0,49.0,2,0,1,-17.776760433771415,65.70196264016704,83.47872307393845
33,47.0,43.0,8,2,0,54.05085282517393,-30.691695601242827,84.74254842641676
34,48.0,50.0,1,0,1,-18.303247389849275,66.61365894348273,84.91690633333201
35,47.0,41.0,10,1,1,-28.158245045662625,57.66481895635661,85.82306400201924
36,47.0,44.0,7,2,0,-31.221972454310162,54.958759231551085,86.18073168586125
37,48.0,51.0,0,0,1,-18.77210384805221,67.58298574476066,86.35508959281287
38,47.0,42.0,9,1,1,58.50782173212065,-28.7534255295177,87.26124726163835
39,47.0,45.0,6,2,0,-31.694618809531676,55.92429613583954,87.61891494537122
40,47.0,43.0,8,1,1,59.408455005781434,-29.290975515323225,88.69943052110466
41,47.0,46.0,5,2,0,56.94746353811206,-32.10963466661633,89.05709820472839
42,47.0,41.0,10,0,2,62.793309936023434,-26.986636160989292,89.77994609701273
43,47.0,44.0,7,1,1,-29.7708950030501,60.36671877744084,90.13761378049094
44,47.0,47.0,4,2,0,58.02826143831771,-32.46702002591337,90.49528146423108
45,47.0,42.0,9,0,2,63.686670077062445,-27.53145927924197,91.21812935630442
46,47.0,45.0,6,1,1,61.382613047011546,-30.193183992931154,91.5757970399427
47,47.0,48.0,3,2,0,59.16668983655836,-32.766774887102656,91.93346472366102
48,47.0,43.0,8,0,2,-28.018651899619726,64.63766071612918,92.6563126157489
49,47.0,46.0,5,1,1,-30.55784248484997,62.456137814660906,93.01398029951088
50,47.0,49.0,2,2,0,-33.00889925044612,60.362748732710315,93.37164798315644
51,47.0,44.0,7,0,2,-28.448214022122556,65.64628185306356,94.09449587518611
52,47.0,47.0,4,1,1,63.58729308018519,-30.86487047871924,94.45216355890443
53,47.0,50.0,1,2,0,-33.193393115812796,61.61643812680268,94.80983124261547
54,47.0,45.0,6,0,2,-28.820145646721357,66.71253348805476,95.53267913477612
55,46.0,41.0,10,3,0,50.942890865539084,-44.77309804575634,95.71598891129543
56,47.0,48.0,3,1,1,64.77607884372264,-31.11426797468448,95.89034681840712
57,47.0,51.0,0,2,0,-33.32025648323179,62.927758018893655,96.24801450212544
58,47.0,46.0,5,0,2,67.83641562092089,-29.13444677312509,96.97086239404598
59,46.0,42.0,9,3,0,-45.02628543871106,52.12788673209434,97.1541721708054
60,47.0,49.0,2,1,1,66.02249510516413,-31.30603497265838,97.3285300778225
61,47.0,47.0,4,0,2,-29.391117401770316,69.01792825183657,98.40904565360688
62,46.0,43.0,8,3,0,-45.221842333703535,53.37051309659728,98.59235543030081
63,47.0,50.0,1,1,1,67.32654186463333,-31.440171472728252,98.76671333736158
